职位名,公司名,工作地点,薪资,发布日期
"

                    Java开发工程师/Java中级开发工程师                
",上海卓希智能科技有限公司,上海-松江区,2-2.5万/月,10-17
"

                    软件工程师 Java                
",吉林省澎兴电子产业有限公司,长春-高新技术...,0.8-1万/月,10-17
"

                    java服务端程序                
",广州市漫灵软件有限公司,广州,1.1-2万/月,10-17
"

                    292181-Java高级开发工程师                
",平安城市建设科技（深圳）有限公司...,成都-高新区,20-30万/年,10-17
"

                    JAVA/.NET软件开发实习生                
",大连星宇科技有限公司,大连,3-4.5千/月,10-17
"

                    Java开发工程师 福田                
",深圳市雁联技术服务有限公司,深圳-福田区,1.5-2万/月,10-17
"

                    Java资深开发工程师                
",南京德乐科技有限公司,南京-鼓楼区,1.2-1.8万/月,10-17
"

                    Java开发工程师                
",深圳市云房网络科技有限公司,深圳-南山区,0.9-1.8万/月,10-17
"

                    Java开发工程师                
",山东万腾电子科技有限公司,异地招聘,0.7-1.5万/月,10-17
"

                    Java开发工程师                
",南京思美软件系统有限公司,南京-江宁区,1.1-1.9万/月,10-17
"

                    Java开发工程师                
",北京正通科技有限公司,异地招聘,1-1.5万/月,10-17
"

                    高级JAVA软件工程师                
",上海若雅软件系统有限公司南京办事...,南京-雨花台区,1.5-2万/月,10-17
"

                    Java开发工程师                
",上海羿海信息科技有限公司,成都-高新区,1-1.5万/月,10-17
"

                    JAVA软件开发工程师                
",广州天源信息科技股份有限公司,上海,0.6-1万/月,10-17
"

                    Java中级开发工程师                
",深圳市泓健体育文化有限公司,深圳-南山区,1-1.6万/月,10-17
"

                    Java开发工程师（武汉）                
",北京泛鹏天地科技股份有限公司,武汉-洪山区,1-1.5万/月,10-17
"

                    Java开发实习生                
",福建索天信息科技股份有限公司,福州-鼓楼区,2-3.5千/月,10-17
"

                    Java 开发工程师（软件公司YF）                
",深圳市今天国际物流技术股份有限公...,深圳-龙岗区,0.9-1.8万/月,10-17
"

                    Java开发工程师                
",云南索引科技股份有限公司,昆明-五华区,4-8千/月,10-17
"

                    java开发工程师                
",成都龙捷科技有限公司,深圳-龙岗区,6-8千/月,10-17
"

                    java开发工程师4                
",深圳神木源科技有限公司,深圳-南山区,6-8千/月,10-17
"

                    java开发工程师                
",深圳神木源科技有限公司,深圳-龙华新区,6-8千/月,10-17
"

                    Java开发工程师                
",武汉鑫越龙科技有限公司,武汉-东西湖区,0.6-1万/月,10-17
"

                    Java开发工程师--数字化产品部（成都）                
",中移物联网有限公司,成都-高新区,0.8-1.2万/月,10-17
"

                    Java高级研发工程师                
",西安中服软件有限公司,西安,1-1.5万/月,10-17
"

                    初级Java前端工程师                
",浙江联泰信息系统有限公司,杭州-滨江区,6-8千/月,10-17
"

                    Java开发工程师                
",无锡斑目信息技术有限公司,无锡,0.6-1万/月,10-17
"

                    java高级开发工程师                
",上海巴士拓华科技发展有限公司,上海,1-2万/月,10-17
"

                    高级Java开发（东吴）(J10162)                
",上海耸智信息科技有限公司,苏州,1-1.5万/月,10-17
"

                    Java高级开发工程师                
",湖南继教云科技有限公司,长沙-天心区,1-1.5万/月,10-17
"

                    初级Java开发工程师/Java实习生                
",南京柯普瑞信息技术有限公司,南京,4.5-6千/月,10-17
"

                    Java高级开发工程师                
",重庆齐祥控股集团有限公司,重庆-江北区,0.9-1.8万/月,10-17
"

                    Java开发工程师                
",南宁市创勤信息技术有限责任公司,南宁,5-8千/月,10-17
"

                    Java开发工程师                
",西安天服至兴网络科技有限公司,重庆-渝中区,0.7-1万/月,10-17
"

                    JAVA软件工程师                
",上海天臣防伪技术股份有限公司,上海-杨浦区,0.9-1.3万/月,10-17
"

                    Java定岗实习生 五险一金                
",长春中软卓越科技有限公司,长春-朝阳区,4.5-6千/月,10-17
"

                    Java开发工程师                
",上海栖盟科技有限公司,上海-杨浦区,0.9-1.5万/月,10-17
"

                    Java开发工程师                
",广州领易信息科技有限公司,广州-黄埔区,6-8千/月,10-17
"

                    软件工程师-JAVA                
",上海盛巨信息技术有限公司,成都-青羊区,6-8.5千/月,10-17
"

                    JAVA高级开发工程师                
",北京思诺博信息技术股份有限公司,南京,1-2万/月,10-17
"

                    Java软件开发工程师                
",北京世纪互联软件开发有限公司,北京-朝阳区,0.6-1.5万/月,10-17
"

                    Java开发经理                
",宏智科技（苏州）股份有限公司,苏州,1-1.5万/月,10-17
"

                    初级Java 软件开发工程师                
",临沂影漫文化传媒有限公司,临沂,3-4.5千/月,10-17
"

                    中高级JAVA开发工程师                
",上海嘉岩供应链管理股份有限公司,上海-嘉定区,2-2.5万/月,10-17
"

                    Java开发工程师                
",长沙南益网络科技有限公司,长沙-开福区,0.8-1万/月,10-17
"

                    Java开发工程师                
",沈阳甜程网络科技有限公司,沈阳-和平区,0.6-1万/月,10-17
"

                    Java前端开发工程师web                
",广州市九芯电子科技有限公司,广州-天河区,0.8-1万/月,10-17
"

                    Java开发工程师                
",常州市联拓计算机有限公司,常州,3-4.5千/月,10-17
"

                    Java开发实习生                
",上海天好信息技术股份有限公司,苏州-工业园区,3-4千/月,10-17
"

                    JAVA工程师                
",南京永利翡翠珠宝有限公司,南京-鼓楼区,0.8-1.5万/月,10-17
"

                    Java实习生五险双休3千起                
",南京问持新能源科技有限公司,武汉-江夏区,4.5-6千/月,10-17
"

                    Java高级开发工程师                
",上海讯轻信息科技有限公司,上海,1.8-3万/月,10-17
"

                    JAVA开发经理/开发组长                
",深圳市科荣软件股份有限公司,深圳-罗湖区,1.5-3万/月,10-17
"

                    Java开发工程师（初中级）                
",苏州工业园区凌志软件股份有限公司...,上海,1-1.2万/月,10-17
"

                    Java高级开发工程师                
",广州云徙科技有限公司,广州-黄埔区,2-3万/月,10-17
"

                    Java开发工程师                
",深圳市利谱信息技术有限公司,深圳-南山区,1.5-2.5万/月,10-17
"

                    Java 软件工程师（spring方向）                
",惠州高视科技有限公司,惠州,5-9千/月,10-17
"

                    Java高级开发工程师                
",南京弘丞聚合信息技术有限公司,南京-建邺区,1.3-1.8万/月,10-17
"

                    中高级JAVA开发工程师（五险一金，双休+带薪年假）                
",长沙丹渥智能科技有限公司,长沙-岳麓区,0.8-1.5万/月,10-17
"

                    JAVA开发工程师（金融方向）                
",上海亚太神通计算机有限公司,上海-浦东新区,1-1.5万/月,10-17
"

                    Java高级开发工程师                
",武汉风河信息科技有限公司,武汉-洪山区,0.8-1万/月,10-17
"

                    JAVA 研发工程师（2-3年）                
",济南瀚盟网络技术有限公司,济南,0.8-1.2万/月,10-17
"

                    高级JAVA开发工程师（招商101）                
",广东中广建筑工程有限公司,广州,6-8千/月,10-17
"

                    Java开发岗                
",陕西长银消费金融有限公司,西安,,10-17
"

                    JAVA 开发工程师                
",易谷网络科技股份有限公司,杭州,0.8-1.6万/月,10-17
"

                    JAVA工程师                
",无锡德望科荣科技系统有限公司,无锡-滨湖区,0.5-1万/月,10-17
"

                    JAVA游戏后端工程师                
",上海沐睦网络科技有限公司,上海-闵行区,4.5-6千/月,10-17
"

                    Java开发工程师（接受转行）                
",大连易拓科技有限公司,大连-高新园区,1.5-2万/月,10-17
"

                    Java开发工程师                
",广州市鹤驰信息科技有限公司,广州-天河区,0.7-1.2万/月,10-17
"

                    Java架构师(双休 7险1金)                
",广东盟讯科技有限公司,广州-番禺区,2-3万/月,10-17
"

                    资深Java后端开发                
",苏州车图网络科技有限公司,苏州-工业园区,1.5-2.5万/月,10-17
"

                    高级java工程师                
",南京乐尔博信息科技有限公司,南京-秦淮区,1-2万/月,10-17
"

                    JAVA工程师-2020届秋招                
",广州赛意信息科技股份有限公司,异地招聘,5-7千/月,10-17
"

                    长期日本出差JAVA，SAP等软件工程师（上海/西安）                
",大连华小讯科技有限公司,异地招聘,2.5-3万/月,10-17
"

                    中高级Java开发工程师                
",龙裁信息技术（上海）有限公司,苏州,0.8-1.2万/月,10-17
"

                    JAVA高级开发工程师                
",北京唯正科技有限公司,广州-白云区,6-8千/月,10-17
"

                    Java开发工程师                
",东方永德软件（北京）有限公司,杭州-拱墅区,1-2万/月,10-17
"

                    JAVA研发工程师                
",江苏国贸酝领智能科技股份有限公司...,苏州,0.8-1万/月,10-17
"

                    Java架构师                
",深圳市享往科技有限公司,深圳-南山区,0.8-2万/月,10-17
"

                    JAVA开发工程师                
",成都伊高智能科技有限公司,成都-成华区,4-6千/月,10-17
"

                    Java高级软件工程师/项目经理                
",上海城市房地产估价有限公司,上海,25-45万/年,10-17
"

                    Java高级程序经理                
",广州市中智软件开发有限公司,广州-越秀区,1.6-2万/月,10-17
"

                    资深java软件工程师                
",大连陆泽科技有限公司,大连-沙河口区,0.9-1.6万/月,10-17
"

                    Java开发工程师                
",深圳市华威世纪科技股份有限公司,深圳-福田区,6-8千/月,10-17
"

                    Java开发实习生                
",青岛快时代传媒科技有限公司,青岛-市北区,4.5-6千/月,10-17
"

                    Java开发工程师-2020届                
",南京合荣欣业信息技术有限公司,南京-秦淮区,5-9千/月,10-17
"

                    武汉Java开发                
",福建八萃网络科技有限公司,武汉-武昌区,6-7千/月,10-17
"

                    Java Engineer                
",哈曼智联科技（成都）有限公司,成都,,10-17
"

                    java服务端开发                
",武汉青橙互娱网络科技有限公司,武汉-江夏区,1-2万/月,10-17
"

                    Java高级开发工程师                
",上海鹰速国际货物运输有限公司,上海-宝山区,2-2.5万/月,10-17
"

                    Java高级开发工程师                
",上海天玑科技股份有限公司,上海,1.5-2万/月,10-17
"

                    Java高级开发工程师                
",好屋,上海-宝山区,2-3万/月,10-17
"

                    Java开发实习生                
",南京欣华软件技术有限公司,南京,2-3千/月,10-17
"

                    Java开发工程师                
",宜信公司,北京-朝阳区,3-4万/月,10-17
"

                    Java开发工程师                
",和同软件科技（上海）有限公司,上海-静安区,1.5-3万/月,10-17
"

                    中级JAVA开发工程师                
",沈阳邦睿科技有限公司,大连-甘井子区,5-8千/月,10-17
"

                    Java开发工程师                
",长沙三济生物科技有限公司,长沙,5-7千/月,10-17
"

                    Java开发工程师                
",中储南京智慧物流科技有限公司,南京,1.2-2万/月,10-17
"

                    java研发工程师                
",上海帕科信息科技有限公司,上海-徐汇区,1.5-2万/月,10-17
"

                    Java高级开发工程师                
",宏兆集团,深圳-南山区,0.8-1.5万/月,10-17
"

                    Java软件工程师/高级软件开发工程师                
",上海车团网络信息技术有限公司,上海-浦东新区,1.5-3万/月,10-17
"

                    Java开发工程师                
",广州市粤信游网络科技有限公司,广州-番禺区,1-1.5万/月,10-17
"

                    Java开发工程师                
",北京爱可生信息技术股份有限公司,天津,4-8千/月,10-17
