职位名,公司名,工作地点,薪资,发布日期
"

                    Python WEB开发主管                
",嘉兴构美信息技术有限公司,杭州-江干区,2.5-3万/月,10-22
"

                    实习生(前端&Python&Java&ASP.NET)                
",广州云岫信息科技有限公司,广州-天河区,3-5千/月,10-22
"

                    Python开发工程师                
",武汉市星商电子商务有限公司,武汉-洪山区,0.8-1.5万/月,10-22
"

                    python大数据工程师                
",佛山市深简软件科技有限公司,佛山-南海区,1-1.5万/月,10-22
"

                    Python开发工程师                
",喜科（上海）软件系统有限公司,上海-徐汇区,1.3-1.8万/月,10-22
"

                    Python讲师                
",杭州小米智课教育科技有限公司,温州,0.6-1万/月,10-22
"

                    Python爬虫工程师                
",广州龙骐贸易有限公司,广州-白云区,0.8-1.5万/月,10-22
"

                    Python开发工程师                
",深圳市悟空跨境科技有限公司,深圳-南山区,1-1.5万/月,10-22
"

                    Python高级开发工程师                
",瓦戈科技（上海）有限公司,上海-浦东新区,1.5-3万/月,10-22
"

                    高级Python后台开发工程师                
",深圳得程信息技术有限公司,深圳-龙华新区,2-2.5万/月,10-22
"

                    python 工程师                
",广西宜钱科技有限公司,南宁,0.8-1万/月,10-22
"

                    Python高级开发工程师                
",广东科策科技公司,佛山-顺德区,1.2-1.5万/月,10-22
"

                    Python开发工程师-19282G01180                
",华云数据有限公司,无锡,1.2-1.6万/月,10-22
"

                    python工程师                
",维恩贝特科技有限公司,深圳-罗湖区,1-1.8万/月,10-22
"

                    Python后端开发                
",飞驰镁物（北京）信息服务有限公司...,北京-顺义区,1.5-2.5万/月,10-22
"

                    Python高级开发工程师                
",微加普惠金融服务（深圳）有限公司...,昆明-盘龙区,1-2万/月,10-22
"

                    Python工程师                
",成都华会云商科技有限公司,成都-锦江区,6-8千/月,10-22
"

                    Python实习生                
",西安皖仪机电设备有限公司,西安-碑林区,6-8千/月,10-22
"

                    python爬虫工程师                
",西安新普融通新能源汽车销售服务有...,西安-雁塔区,0.8-1万/月,10-22
"

                    Python开发工程师                
",上海九曳电子商务有限公司,上海-嘉定区,1.5-2.5万/月,10-22
"

                    python工程师                
",昆明联诚科技股份有限公司,昆明,6-8千/月,10-22
